General,Couple,Family,Solo,Brothers-and-Sisters,Colleagues,Classmates
你們第一次見面的時候是怎麼認識的啊？,這張照片看起來是在約會呢！你能回想你們第一次約會發生什麽事嗎,這看起來是家庭聚會呢！你記得這是什麽特別的節日嗎？,照片是你的獨照呢！還有誰跟你一起嗎？,這看起來是兄弟姊妹照呢！再好的兄弟姊妹似乎還是會吵架呢！你能和我分享你們吵最兇的一次的經驗嗎？最後是怎麼和好的呢？,這些是你的同事嗎？你和這些同事還有聯絡嗎？,這些是你的老同學嗎？你和這些朋友還有聯絡嗎？
你們大概認識多久了呢？,你可以和我分享他向你告白或是你向他告白的故事嗎？,你能和我分享你的家人最喜歡和最不喜歡的事情嗎？,這張照片是沙龍照呢! 是朋友幫你拍的嗎？你可以敘述一下幫你拍照的人是什麽樣的人嗎？,你們兄弟姊妹最近一次相處有聊到什麼有趣的事情嗎？,那次同事聚會你記得你們都在聊什麽嗎？,那次同學會你記得你們都在聊什麽嗎？
在這張照片裡面你們在幹什麼啊？,你覺得他對你做過最浪漫的事情是什麽呢？,這趟旅程中，你有和家人有什麼難忘的回憶可以跟我分享嗎？,可以分享一下你為什麼在這裡獨照呢？,你們兄弟姊妹小時候會一起玩嗎？可以和我分享你們一起玩的時光嗎,這些同事裡面你跟誰最好呢？為什麽？,這些同學裡面你跟誰最好呢？為什麽？
你最懷念跟他們一起作什麼事情啊？,你們為什麼會到這裡玩呢？是結婚紀念日嗎？,,,,你能回憶和這些同事之間相處印象最深刻的一件事情嗎,你能回憶和這些同學之間相處印象最深刻的一件事情嗎
你可以多跟我說說這張照片裡面有趣的事情嗎？,你覺得這場約會你印象最深刻的事情是什麼呢？,,,,有什麽事情是你和同事一起的時候最懷念的嗎？可以和我分享嗎？,有什麽事情是你和同學一起的時候最懷念的嗎？可以和我分享嗎？
會不會想念在 一起的時光啊？,,,,,,
還記得誰決定要一起合照的啊？,,,,,,
除了照片裡這些人，還有誰跟你在一起啊？,,,,,,
還會想跟這些人再聚在一起嗎？,,,,,,
這張照片的人們，現在去了哪裡？,,,,,,
這照片裡面有誰阿？,,,,,,
你們除了來這裡，還有去其他地方嗎？,,,,,,
當天有什麼對話特別有印象嗎？,,,,,,
你們平常在一起都做些什麼事阿？,,,,,,
看到這張照片時你想到哪些事情？,,,,,,
懷念以前這張照片的時候嗎？,,,,,,
你會想再來這個地方嗎？,,,,,,
你們當天有聊了什麼特別的事情嗎？,,,,,,
你們除了這次見面，以前也常聚會嗎？,,,,,,
